timestamp, cpu_user, cpu_system, rss, heapTotal, heapUsed, external
1776344811318,428434,168558592,90701824,59771584,3901537
1776344811819,429030,168558592,90701824,59776600,3901577
1776344812320,429656,168607744,90701824,59789104,3901577
1776344812821,429982,168607744,90701824,59791432,3901577
1776344813322,430218,168607744,90701824,59793296,3901577
1776344813824,430816,168607744,90701824,59804216,3901577
1776344814325,431222,168607744,90701824,59806536,3901577
1776344814826,431620,168607744,90701824,59808200,3901577
1776344815327,432558,168640512,90701824,59822400,3901577
1776344815828,433134,168640512,90701824,59831664,3901577
1776344816329,433390,163184640,90701824,59833376,3901577
1776344816830,433549,163184640,90701824,59835216,3901577
1776344817331,433708,163184640,90701824,59836768,3901577
1776344817832,433942,163184640,90701824,59838320,3901577
1776344818333,434254,163184640,90701824,59839872,3901577
1776344818834,434609,163184640,90701824,59841424,3901577
1776344819336,435018,163184640,90701824,59843144,3901577
1776344819837,435230,163184640,90701824,59844696,3901577
1776344820338,435404,163184640,90701824,59846248,3901577
1776344820839,435693,163184640,90701824,59848328,3901577
1776344821344,435961,105562112,90701824,59849912,3901577
1776344821846,436185,105562112,90701824,59851584,3901577
1776344822346,436475,105562112,90701824,59853152,3901577
1776344822847,436739,105562112,90701824,59854720,3901577
1776344823348,436927,105562112,90701824,59856288,3901577
1776344823849,437203,105562112,90701824,59857856,3901577
1776344824350,437534,105562112,90701824,59859424,3901577
1776344824851,437849,105562112,90701824,59860992,3901577
1776344825352,438138,105562112,90701824,59862560,3901577
1776344825853,438366,105562112,90701824,59864128,3901577
1776344826354,438628,105562112,90701824,59865696,3901577
1776344826855,438791,105562112,90701824,59867264,3901577
1776344827356,438980,105562112,90701824,59869000,3901577
1776344827856,439148,105562112,90701824,59870568,3901577
1776344828357,439389,105562112,90701824,59872136,3901577
1776344828858,439568,105562112,90701824,59873704,3901577
1776344829359,439864,105562112,90701824,59875272,3901577
1776344829861,440119,105562112,90701824,59876840,3901577
1776344830362,440404,105562112,90701824,59878408,3901577
1776344830863,440713,105562112,90701824,59879976,3901577
1776344831364,441027,105562112,90701824,59881544,3901577
1776344831865,441364,105562112,90701824,59883112,3901577
1776344832365,441740,105562112,90701824,59884680,3901577
1776344832865,441923,105562112,90701824,59886248,3901577
1776344833366,442038,105562112,90701824,59887816,3901577
1776344833867,442197,105562112,90701824,59889384,3901577
1776344834369,442487,105562112,90701824,59890952,3901577
1776344834870,442779,105562112,90701824,59892520,3901577
1776344835370,443217,105562112,90701824,59894256,3901577
1776344835871,443526,105562112,90701824,59895824,3901577
1776344836371,443797,105562112,90701824,59897392,3901577
1776344836872,444025,105562112,90701824,59898960,3901577
1776344837373,444141,105562112,90701824,59900528,3901577
1776344837873,444337,105562112,90701824,59902096,3901577
1776344838373,444627,105562112,90701824,59903664,3901577
1776344838874,444937,105562112,90701824,59905232,3901577
1776344839376,445249,105562112,90701824,59906800,3901577
1776344839876,445529,105562112,90701824,59908376,3901577
1776344840377,445758,105562112,90701824,59909944,3901577
1776344840878,446377,105693184,90701824,59912368,3901577
1776344841379,446679,105693184,90701824,59913936,3901577
1776344841880,446956,105693184,90701824,59915504,3901577
1776344842381,447174,105693184,90701824,59917072,3901577
1776344842882,447444,105693184,90701824,59918640,3901577
